#TYPE System.Data.DataRow
"id","item","sku"
"1","31470","0100085412091785"
"2","270","885380112877"
"3","3162","0100310819000017"
"4","2848","0130884521102754"
"5","9890","0100382903051755"
"6","9870","0120884521544830"
"7","8750",""
"8","8800",""
"9","8860",""
"10","9860",""
"11","15610","0100707387792800"
"12","15640","0100707387792787"
"13","9920",""
"14","1770","0100749756150576"
"15","9530","0110885632122903"
"16","10070","0100382904051846"
"17","10160","0100382904051815"
"18","14980","0110884521012301"
"19","14850","0110884521013582"
"20","14870","0100382903029952"
"21","14900","0110884521010802"
"22","14930","0110884521010826"
"23","7022","0100085412475417"
"24","8980","0110884389203071"
"25","17680","0110885380072413"
"26","9620","0110885380072413"
"27","14080","0110885380067792"
"28","16414","0100749756113434"
"29","1533","0100884450011911"
"30","3350","0100085412071107"
"31","3491","0110887787005650"
"32","9780","0120680651471479"
"33","11552","0110884527010202"
"34","6880","0100855683006210"
"35","6950","0120192253016670"
"36","13300","0120080196690685"
"37","570","10687225301616"
"38","540","0140080196732747"
"39","9310","0110801902117189"
"40","8470","0110801902121582"
"41","4282","0110885380031953"
"42","4283","0110885380031960"
"43","2680",""
"44","2609",""
"45","QC CODE",""
